Player,Birth Date
Alaa Abdelnaby,June 24 1968
Zaid Abdul-Aziz,April 7 1946
Kareem Abdul-Jabbar*,April 16 1947
Mahmoud Abdul-Rauf,March 9 1969
Tariq Abdul-Wahad,November 3 1974
Shareef Abdur-Rahim,December 11 1976
Tom Abernethy,May 6 1954
Forest Able,July 27 1932
John Abramovic,February 9 1919
Álex Abrines,August 1 1993
Precious Achiuwa,September 19 1999
Alex Acker,January 21 1983
Don Ackerman,September 4 1930
Mark Acres,November 15 1962
Bud Acton,January 11 1942
Quincy Acy,October 6 1990
Alvan Adams,July 19 1954
Don Adams,November 27 1947
George Adams,May 15 1949
Hassan Adams,June 20 1984
Jaylen Adams,May 4 1996
Jordan Adams,July 8 1994
Michael Adams,January 19 1963
Steven Adams,July 20 1993
Rafael Addison,July 22 1964
Bam Adebayo,July 18 1997
Deng Adel,February 1 1997
Rick Adelman*,June 16 1946
Jeff Adrien,February 10 1986
Arron Afflalo,October 15 1985
Maurice Ager,February 9 1984
Mark Aguirre,December 10 1959
Blake Ahearn,May 27 1984
Danny Ainge,March 17 1959
Matthew Aitch,September 21 1944
Alexis Ajinça,May 6 1988
Henry Akin,July 31 1944
Josh Akognon,February 10 1986
DeVaughn Akoon-Purcell,June 5 1993
Solomon Alabi,March 21 1988
Mark Alarie,December 11 1963
Gary Alcorn,October 8 1936
Santi Aldama,January 10 2001
Furkan Aldemir,August 9 1991
Cole Aldrich,October 31 1988
LaMarcus Aldridge,July 19 1985
Chuck Aleksinas,February 26 1959
Cliff Alexander,November 16 1995
Cory Alexander,June 22 1973
Courtney Alexander,April 27 1977
Gary Alexander,November 1 1969
Joe Alexander,December 26 1986
Kyle Alexander,October 21 1996
Ty-Shon Alexander,July 16 1998
Victor Alexander,August 31 1969
Nickeil Alexander-Walker,September 2 1998
Steve Alford,November 23 1964
Rawle Alkins,October 29 1997
Bob Allen,July 17 1946
Grayson Allen,October 8 1995
Jarrett Allen,April 21 1998
Jerome Allen,January 28 1973
Kadeem Allen,January 15 1993
Lavoy Allen,February 4 1989
Lucius Allen,September 26 1947
Malik Allen,June 27 1978
Randy Allen,January 26 1965
Ray Allen*,July 20 1975
Tony Allen,January 11 1982
Willie Allen,February 8 1949
Odis Allison,October 2 1949
Lance Allred,February 2 1981
Darrell Allums,September 12 1958
Morris Almond,February 2 1985
Derrick Alston,August 20 1972
Rafer Alston,July 24 1976
Peter Aluma,April 23 1973
Jose Alvarado,April 12 1998
John Amaechi,November 26 1970
Ashraf Amaya,November 23 1971
Al-Farouq Aminu,September 21 1990
Lou Amundson,December 7 1982
Bob Anderegg,August 24 1937
Chris Andersen,July 7 1978
David Andersen,June 23 1980
Alan Anderson,October 16 1982
Andrew Anderson,July 6 1945
Antonio Anderson,June 5 1985
Cliff Anderson,September 7 1944
Dan Anderson,February 15 1943
Dan Anderson,January 1 1951
Derek Anderson,July 18 1974
Dwight Anderson,December 28 1960
Eric Anderson,May 26 1970
Greg Anderson,June 22 1964
J.J. Anderson,September 23 1960
James Anderson,March 25 1989
Jerome Anderson,October 9 1953
Justin Anderson,November 19 1993
Kenny Anderson,October 9 1970
Kim Anderson,May 12 1955
Kyle Anderson,September 20 1993
Michael Anderson,March 23 1966
Nick Anderson,January 20 1968
Richard Anderson,November 19 1960
Ron Anderson,October 15 1958
Ryan Anderson,May 6 1988
Shandon Anderson,December 31 1973
Willie Anderson,January 8 1967
Wally Anderzunas,January 11 1946
Martynas Andriuškevi?ius,March 12 1986
Don Anielak,November 1 1930
Ike Anigbogu,October 17 1998
Michael Ansley,February 8 1967
Chris Anstey,January 1 1975
Giannis Antetokounmpo,December 6 1994
Kostas Antetokounmpo,November 20 1997
Thanasis Antetokounmpo,July 18 1992
Carmelo Anthony,May 29 1984
Cole Anthony,May 15 2000
Greg Anthony,November 15 1967
Joel Anthony,August 9 1982
Pero Anti?,July 29 1982
OG Anunoby,July 17 1997
Keith Appling,February 13 1992
Rafael Araújo,August 12 1980
Stacey Arceneaux,February 17 1936
Robert Archibald,March 29 1980
Tiny Archibald*,September 2 1948
Ryan Arcidiacono,March 26 1994
Jim Ard,September 19 1948
Gilbert Arenas,January 6 1982
Trevor Ariza,June 30 1985
Paul Arizin*,April 9 1928
Joe Arlauckas,July 20 1965
B.J. Armstrong,September 9 1967
Bob Armstrong,June 17 1933
Brandon Armstrong,June 16 1980
Curly Armstrong,November 1 1918
Darrell Armstrong,June 22 1968
Hilton Armstrong,November 11 1984
Tate Armstrong,October 5 1955
Jesse Arnelle,December 30 1933
Jay Arnette,December 19 1938
